Source Data Filename: 1303_akto
g Acquisition Version: 9.210113
g Processing Version: 9.210114
Set	Time	DOY	Year	Gravity	Sigma	Error	Uncert	Tide	Load	Baro	Polar	Transfer	Refxo	Tilt	Diffraction	SelfAttract	Temp	Pres	Chan5	Chan6	Chan7	Accept	Reject
   1	07:01:52	209	2023	980964722.931	38.189	3.858	7.106	 65.704	 -0.352	 -0.437	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.255	988.113	  0.001	  0.001	  0.001	  98	  22	
   2	07:06:50	209	2023	980964760.381	41.239	3.846	7.100	 63.797	 -0.374	 -0.441	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.199	988.100	  0.001	  0.001	  0.001	 115	   5	
   3	07:11:49	209	2023	980964722.997	35.473	3.352	6.845	 61.837	 -0.395	 -0.450	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.324	988.070	  0.001	  0.001	  0.001	 112	   8	
   4	07:16:48	209	2023	980964758.512	36.548	3.533	6.936	 59.827	 -0.416	 -0.448	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.317	988.076	  0.001	  0.001	  0.001	 107	  13	
   5	07:21:45	209	2023	980964717.201	35.109	3.494	6.915	 57.781	 -0.437	 -0.464	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.393	988.024	  0.001	  0.001	  0.001	 101	  19	
   6	07:26:55	209	2023	980964750.748	35.689	3.517	6.927	 55.601	 -0.458	 -0.468	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.373	988.012	  0.001	  0.001	  0.001	 103	  17	
   7	07:31:52	209	2023	980964719.246	35.598	3.542	6.940	 53.462	 -0.478	 -0.496	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.447	987.916	  0.001	  0.001	  0.001	 101	  19	
   8	07:36:58	209	2023	980964753.839	35.901	3.743	7.045	 51.227	 -0.498	 -0.504	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.418	987.891	  0.001	  0.001	  0.001	  92	  28	
   9	07:41:49	209	2023	980964716.903	33.837	3.418	6.877	 49.056	 -0.517	 -0.511	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.480	987.868	  0.001	  0.001	  0.001	  98	  22	
  10	07:46:52	209	2023	980964753.387	37.932	3.955	7.159	 46.762	 -0.536	 -0.522	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.448	987.830	  0.001	  0.001	  0.001	  92	  28	
  11	07:51:51	209	2023	980964719.230	37.402	3.899	7.129	 44.466	 -0.555	 -0.533	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.511	987.792	  0.001	  0.001	  0.001	  92	  28	
  12	07:57:02	209	2023	980964754.387	30.805	3.177	6.761	 42.044	 -0.575	 -0.527	  5.028	  9.585	  0.000	  0.000	  1.200	 -0.580	 53.464	987.815	  0.001	  0.001	  0.001	  94	  26	
